reward/player_1,reward/player_0,rollout/exploration_rate,time/step,train/loss,train/n_updates,train/learning_rate
246.0,367.0,0.05,0,,,
369.0,1973.0,0.05,1,0.031352639993561755,1000,0.0005
697.0,898.0,0.05,2,0.01464210126679609,2000,0.0005
968.0,1114.0,0.05,3,0.0007797932021203451,3000,0.0005
1046.0,769.0,0.05,4,0.0001623082106207221,4000,0.0005
1483.0,473.0,0.05,5,0.00017554555353763135,5000,0.0005
1129.0,911.0,0.05,6,0.0001144989967069705,6000,0.0005
861.0,789.0,0.05,7,0.00020221504045821347,7000,0.0005
1029.0,759.0,0.05,8,0.00016924478210330563,8000,0.0005
1079.0,994.0,0.05,9,0.00012005707146636269,9000,0.0005
1733.0,387.0,0.05,10,0.02324314456513821,10000,0.0005
1703.0,208.0,0.05,11,0.000714462749159793,11000,0.0005
1885.0,150.0,0.05,12,0.0003461369225733506,12000,0.0005
1547.0,265.0,0.05,13,0.00024115764366615622,13000,0.0005
1850.0,108.0,0.05,14,0.0004064037278330943,14000,0.0005
2349.0,93.0,0.05,15,0.0001898288868524105,15000,0.0005
2443.0,69.0,0.05,16,0.00018726283607975347,16000,0.0005
2375.0,106.0,0.05,17,0.0005112187070251366,17000,0.0005
2341.0,75.0,0.05,18,0.00015279287275552633,18000,0.0005
2357.0,154.0,0.05,19,0.00031244739747035056,19000,0.0005
1207.0,713.0,0.05,20,0.01020019257231661,20000,0.0005
1144.0,914.0,0.05,21,0.000718389996984115,21000,0.0005
839.0,729.0,0.05,22,0.00046376069638427,22000,0.0005
853.0,908.0,0.05,23,0.0007871381633995043,23000,0.0005
589.0,1025.0,0.05,24,0.00047387288281606745,24000,0.0005
581.0,778.0,0.05,25,0.0005320259781074128,25000,0.0005
616.0,838.0,0.05,26,0.0004109968037628278,26000,0.0005
711.0,877.0,0.05,27,0.00039347912213816017,27000,0.0005
610.0,858.0,0.05,28,0.0003183220536411682,28000,0.0005
527.0,1045.0,0.05,29,0.00032019206765653506,29000,0.0005
1121.0,994.0,0.05,30,0.01398773216313566,30000,0.0005
2295.0,161.0,0.05,31,0.00025881243563890166,31000,0.0005
2382.0,89.0,0.05,32,0.00027717052385287387,32000,0.0005
2470.0,82.0,0.05,33,0.00021103501113293533,33000,0.0005
2365.0,88.0,0.05,34,0.00023973681391407809,34000,0.0005
2448.0,84.0,0.05,35,0.0002213367495842249,35000,0.0005
2321.0,154.0,0.05,36,0.0003005066301393526,36000,0.0005
1586.0,483.0,0.05,37,0.00020529769330505587,37000,0.0005
2139.0,171.0,0.05,38,0.0007795567582797958,38000,0.0005
2362.0,95.0,0.05,39,0.00044486625390527477,39000,0.0005
2382.0,78.0,0.05,40,0.008129290242237403,40000,0.0005
2457.0,59.0,0.05,41,0.00019854667500703726,41000,0.0005
2465.0,90.0,0.05,42,0.00011376734801433486,42000,0.0005
2445.0,76.0,0.05,43,0.00018817131684363631,43000,0.0005
2391.0,58.0,0.05,44,0.0001962334945051225,44000,0.0005
2428.0,111.0,0.05,45,0.000267097536318488,45000,0.0005
2401.0,84.0,0.05,46,0.0004337779140055318,46000,0.0005
2403.0,105.0,0.05,47,0.0002182424368543252,47000,0.0005
2425.0,113.0,0.05,48,0.00038361665401134815,48000,0.0005
2352.0,136.0,0.05,49,0.000192561792329343,49000,0.0005
2413.0,136.0,0.05,50,0.008855719843125826,50000,0.0005
2362.0,181.0,0.05,51,8.207957657180031e-05,51000,0.0005
2361.0,164.0,0.05,52,0.00017421239775467257,52000,0.0005
2461.0,102.0,0.05,53,0.00033994442870243803,53000,0.0005
2422.0,161.0,0.05,54,0.00011226809814525041,54000,0.0005
2437.0,165.0,0.05,55,0.0003405944795676987,55000,0.0005
2381.0,155.0,0.05,56,0.0002582269985837229,56000,0.0005
2436.0,93.0,0.05,57,0.00039846612928067773,57000,0.0005
2381.0,153.0,0.05,58,0.00014755560547519053,58000,0.0005
2372.0,146.0,0.05,59,0.00033951796703013317,59000,0.0005
2392.0,108.0,0.05,60,0.006567305833909359,60000,0.0005
2367.0,146.0,0.05,61,0.00017351855761785372,61000,0.0005
2451.0,56.0,0.05,62,0.0004361560775053022,62000,0.0005
2411.0,75.0,0.05,63,0.00029849896929385976,63000,0.0005
2344.0,147.0,0.05,64,0.0002466769524094161,64000,0.0005
2318.0,153.0,0.05,65,0.00037913764238305705,65000,0.0005
2426.0,70.0,0.05,66,0.0003509936394170836,66000,0.0005
2451.0,83.0,0.05,67,0.00020866083303349114,67000,0.0005
2369.0,137.0,0.05,68,0.0002275357240221183,68000,0.0005
2410.0,64.0,0.05,69,0.00041873473174973696,69000,0.0005
2391.0,80.0,0.05,70,0.008881186234493044,70000,0.0005
2425.0,71.0,0.05,71,0.00015540377690103924,71000,0.0005
2390.0,76.0,0.05,72,0.00023875383418908315,72000,0.0005
2403.0,82.0,0.05,73,0.0002534246892159899,73000,0.0005
2277.0,229.0,0.05,74,0.0003592357295048032,74000,0.0005
2456.0,105.0,0.05,75,0.00028494592587139777,75000,0.0005
2302.0,215.0,0.05,76,0.00031143133285672773,76000,0.0005
2422.0,109.0,0.05,77,0.0003573293854710755,77000,0.0005
2387.0,142.0,0.05,78,0.00022146211764834334,78000,0.0005
2400.0,150.0,0.05,79,0.00031481548775263947,79000,0.0005
2405.0,83.0,0.05,80,0.007735695331889474,80000,0.0005
220.0,2237.0,0.05,81,0.00022846896083819957,81000,0.0005
2355.0,82.0,0.05,82,0.001785008532115171,82000,0.0005
2277.0,240.0,0.05,83,0.00025847825884648046,83000,0.0005
2404.0,137.0,0.05,84,0.0001912878471807744,84000,0.0005
2432.0,64.0,0.05,85,0.0005321472308833108,85000,0.0005
2228.0,272.0,0.05,86,0.0001652794213409834,86000,0.0005
2221.0,216.0,0.05,87,0.00040826834021390825,87000,0.0005
2171.0,257.0,0.05,88,0.00023374028364560217,88000,0.0005
2396.0,121.0,0.05,89,0.00030724602207646967,89000,0.0005
2406.0,103.0,0.05,90,0.008955214766386234,90000,0.0005
2382.0,115.0,0.05,91,0.0001922964615782803,91000,0.0005
2402.0,136.0,0.05,92,0.0002740682040507636,92000,0.0005
2441.0,151.0,0.05,93,0.0004967228006325968,93000,0.0005
2290.0,224.0,0.05,94,0.00019564638503607058,94000,0.0005
2261.0,251.0,0.05,95,0.0006331118122657244,95000,0.0005
2395.0,80.0,0.05,96,0.00028076762520504417,96000,0.0005
2415.0,94.0,0.05,97,0.00037866920415581263,97000,0.0005
2505.0,66.0,0.05,98,0.000293976530791042,98000,0.0005
2415.0,70.0,0.05,99,0.00033853165637674467,99000,0.0005
